,device_id,device_freq
0,AAALBGNHHVMKG,1
1,AAAWIHVCQELTP,1
2,AAAXJHWCLISKY,1
3,AAAXXOZJRZRAO,11
4,AABFGRPBQHWFQ,1
5,AABGCAPIYUWNC,1
6,AABJEESQPJHDQ,1
7,AABNLBQBKMWRG,1
8,AABOMYDURXEQT,1
9,AABOOVEJUXMKC,1
10,AABOYHXAZBTLZ,1
11,AABQZGLRSEYGR,1
12,AABVEORDXZXUO,1
13,AABZHGGYUMVEQ,1
14,AACBIMMVQIFWW,1
15,AACEEKSUWDCSU,1
16,AACIHTWABTEMZ,1
17,AACOSZDJHOJIZ,1
18,AACRSKFMHVMCE,1
19,AACTNBYQYAVPE,1
20,AACUHRZNDEHGI,1
21,AACYYBUHPLDWT,1
22,AADEPZVZDTXGA,1
23,AADGMPYOPXXCX,1
24,AADHZIOUTNGHW,1
25,AADMHINGHICLN,1
26,AADOZLHNCJMMS,1
27,AADSJJXNALPUV,1
28,AADTALFGPPJOP,1
29,AADWLKVTMKVDI,1
30,AADZHIAGRGWXX,1
31,AAEJIBCSAFDIZ,1
32,AAELYFORBLTZB,1
33,AAEWGRKQJJMVI,2
34,AAEZZOJSFLRNJ,1
35,AAFBODGQYEMVK,2
36,AAFHFKBPPHJFZ,1
37,AAFJFVFQJPUYU,1
38,AAFKLTLYBBYMG,1
39,AAFPGZIXQHQMW,1
40,AAFVPWESOHBGR,1
41,AAFYJBAHJYLYZ,1
42,AAGFEBWXLTBTP,1
43,AAGGGDXSXUFSU,1
44,AAGIVWIGPREWM,1
45,AAGMOPZROWHED,1
46,AAGOBIDATUCBE,1
47,AAGOJTXXBLLDB,1
48,AAGOPBINPURAP,1
49,AAGPVLSWNZAPA,1
50,AAGQZFTGQOWLT,1
51,AAGVFMPDJZFNA,1
52,AAGVZMIBNCPQQ,1
53,AAHLUWDWTGOWS,1
54,AAHLVXALPWYHA,1
55,AAHNJQWURFKZY,1
56,AAHOXMWEVMVBJ,1
57,AAHTSCEJJHATR,1
58,AAHTYBLSRZZKK,1
59,AAHUAQOLPFJSU,1
60,AAHWCPUBMMRRN,1
61,AAIEIZJZIKDLN,1
62,AAIENZSRKYZHC,1
63,AAIGAICKBXPSW,2
64,AAIMGLGWLWPZL,1
65,AAIMJZUARCKHF,1
66,AAIPPSTYKTZRQ,1
67,AAIUBPYHCACER,1
68,AAIXXBIUTRRVN,1
69,AAIYKJTCAPBDT,1
70,AAIZEECMTRTSM,1
71,AAIZSRIKTLCWN,1
72,AAJCMLTHKJVCO,1
73,AAJCSUCPHKORJ,2
74,AAJCTPACRQATS,1
75,AAJIZLRNSGAAM,1
76,AAJJGYZNUWADY,1
77,AAJPZXDTSPTJA,1
78,AAJYYOTRAYDVK,1
79,AAKEQGCCEBSTB,1
80,AAKJAMOQKQQKN,1
81,AAKMPXDMECVAP,1
82,AAKPIFOFLZKQO,1
83,AAKTSVQZWNNHM,1
84,AAKUSAPYGYTZD,1
85,AAKXZGVYRRSUY,1
86,AALAKGMZAYTVW,1
87,AALBLGRRKEIUF,1
88,AALBYGKAEWLGK,1
89,AALDIZHGXYXWW,1
90,AALEXAMQPMPNA,1
91,AALKECKUTQHNR,1
92,AALPBLXAFRTXY,1
93,AALPQBPQCKZOQ,1
94,AALUYIILFUAQN,1
95,AALXNPWMPCGEU,1
96,AALYROMNNLDPZ,1
97,AAMDMDZPRSMSD,1
98,AAMDXZPFWZXDD,1
99,AAMPTEZWMVFBS,1
100,AAMSWOQZIJJZC,1
101,AAMTNVKRWNQIS,1
102,AAMXKWYVILWSM,1
103,AAMZRVDWGPBFL,1
104,AANHQRSKUCHIC,1
105,AANMKLDGNJFQK,1
106,AANMWLAMOXCHB,1
107,AANNFDXAHSAAU,1
108,AANNZKEUANGVD,1
109,AANTOTUZNVMOU,1
110,AANTXSJZDICGW,1
111,AANUECMXWKGSI,1
112,AANWIQNOXPNWZ,1
113,AANXVDRJKAJNB,1
114,AANYBGQSWHRTK,8
115,AANYDYRYFFKNN,1
116,AAODRADVXPGYU,1
117,AAOFVXXVSJSYQ,1
118,AAOGPCORIDMFD,1
119,AAOOFXQAKBJSM,1
120,AAOTWTLXSRLCZ,1
121,AAOUGXVDSLIXE,1
122,AAPDOAZYSCAQC,1
123,AAPKQAGAGJSGP,1
124,AAPTCWEZZVVFY,1
125,AAPXXNMSITGKO,1
126,AAPZCXGHJQIBX,1
127,AAPZJZWCXICZS,1
128,AAPZWXIBSSSQH,1
129,AAQGXMSPIIORB,1
130,AAQKWFODHHPXS,1
131,AAQNPVJWNFHRT,1
132,AAQQHCDVBSTAP,1
133,AAQRWRWMBOLJM,1
134,AAQYBNGGTGLUU,1
135,AAQYCXUGVHYFL,1
136,AAQZDAZIUUCKR,1
137,AARCRDNPDCYIA,1
138,AARGFYWJPPCWL,1
139,AARGJARTXSOEG,1
140,AARHCVYFICSYT,1
141,AARRUSYGHZTEH,1
142,AARSRNFZUUHBT,1
143,AARUOJNBTQEWS,1
144,AASBVAKISAZWS,1
145,AASEQTIMYAEZJ,1
146,AASHRAOIPKVJB,1
147,AASJRSXWKSANN,1
148,AASNACMGSTFWH,1
149,AASNOZCEZLGHZ,1
150,AASNUKKBTTOLA,1
151,AASSDJXUTYEOQ,1
152,AASUCBLXQZNDA,1
153,AATBTLIRYTPIX,1
154,AATCQLUVPFJGR,1
155,AATCTIUPBNOBE,1
156,AATGFMZYOMIBS,1
157,AATGGVWAKTJSR,1
158,AATGJZUJBVMUJ,1
159,AATJQQRJJTWKJ,1
160,AATQMZNTVQFQB,1
161,AATTJOUYSVWHV,1
162,AATUXRNQVTHQR,1
163,AATVBKREHKIYF,1
164,AATVSHCKMLDXT,1
165,AATYSZMYNPSCH,1
166,AAUCZADRCCFZO,1
167,AAULHAQBAWYHA,1
168,AAUMMPZGISSJQ,1
169,AAUNIHYOVGVFB,1
170,AAUWFNOTKOMDC,1
171,AAUWVMBHXUZVG,1
172,AAUXKJAYBLFPB,1
173,AAVBHFWVLKETL,1
174,AAVHBHKQSWXGF,1
175,AAVMNDXIUJYQF,1
176,AAVOTDDNIOQHP,1
177,AAVSEQLFSFIEQ,1
178,AAVVGJJTPEUFU,1
179,AAVWZIESHFYDM,1
180,AAWDMGLJHFAJW,1
181,AAWGZAIXEBOKH,1
182,AAWHCKGSNQLOV,1
183,AAWHFXVNFMGHU,1
